City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Eenhana,NA,-17.4667,16.3333,71.6,83,99,4.61,overcast clouds
1,Santa Maria,BR,-29.6842,-53.8069,69.8,100,40,3.44,scattered clouds
2,Moerai,PF,-22.4333,-151.3333,80.46,71,100,18.07,light rain
3,Cape Town,ZA,-33.9258,18.4232,72.0,88,0,9.22,clear sky
4,Tasiilaq,GL,65.6145,-37.6368,30.2,74,75,36.82,light snow
5,Rikitea,PF,-23.1203,-134.9692,80.64,70,9,9.57,clear sky
6,Salalah,OM,17.0151,54.0924,68.0,45,0,2.3,clear sky
7,Chuy,UY,-33.6971,-53.4616,70.09,93,100,8.68,moderate rain
8,Chokurdakh,RU,70.6333,147.9167,-22.14,72,0,3.74,clear sky
9,Ushuaia,AR,-54.8,-68.3,57.2,41,75,13.8,broken clouds
10,Punta Arenas,CL,-53.15,-70.9167,57.2,51,90,21.85,overcast clouds
11,Macon,US,39.8667,-88.9668,10.4,72,1,13.8,clear sky
12,Albany,US,42.6001,-73.9662,15.01,47,94,2.89,overcast clouds
13,Adrar,MR,20.5022,-10.0711,64.49,21,0,10.92,clear sky
14,Ponta Do Sol,PT,32.6667,-17.1,57.0,74,0,3.0,clear sky
15,Arraial Do Cabo,BR,-22.9661,-42.0278,76.32,89,100,15.66,overcast clouds
16,Jacareacanga,BR,-6.2222,-57.7528,76.96,85,99,0.25,overcast clouds
17,Airai,TL,-8.9266,125.4092,71.15,88,22,2.15,few clouds
18,Busselton,AU,-33.65,115.3333,69.01,69,0,1.99,clear sky
19,Barrow,US,71.2906,-156.7887,-9.4,70,90,8.05,overcast clouds
20,Uarini,BR,-2.99,-65.1083,75.9,93,100,2.24,overcast clouds
21,Rocha,UY,-34.4833,-54.3333,67.55,95,100,5.7,overcast clouds
22,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,75,4.61,broken clouds
23,Hithadhoo,MV,-0.6,73.0833,82.24,73,95,11.59,overcast clouds
24,Nenjiang,CN,49.1833,125.2167,10.98,92,44,9.35,scattered clouds
25,Moron,AR,-34.6534,-58.6198,73.4,64,90,3.44,light rain
26,Barcelos,PT,41.5388,-8.6151,51.8,93,40,4.61,scattered clouds
27,Glace Bay,CA,46.1969,-59.957,28.99,74,40,6.91,scattered clouds
28,Hermanus,ZA,-34.4187,19.2345,68.0,84,1,8.19,clear sky
29,Limbang,MY,4.75,115.0,78.8,89,75,9.22,light rain
30,Adeje,ES,28.1227,-16.726,64.4,68,20,5.75,few clouds
31,Upernavik,GL,72.7868,-56.1549,-2.31,81,0,8.21,clear sky
32,Pisco,PE,-13.7,-76.2167,75.2,69,0,16.11,clear sky
33,Hobart,AU,-42.8794,147.3294,69.01,48,75,8.05,broken clouds
34,Tuatapere,NZ,-46.1333,167.6833,70.0,57,72,1.99,broken clouds
35,Ponta Pora,BR,-22.5361,-55.7256,65.64,90,0,2.01,clear sky
36,Olafsvik,IS,64.8945,-23.7142,39.74,72,100,26.75,light rain
37,Svetlogorsk,BY,52.6333,29.7333,8.46,95,100,17.78,light snow
38,Butaritari,KI,3.0707,172.7902,81.21,83,0,12.01,clear sky
39,Qaanaaq,GL,77.484,-69.3632,-0.72,71,0,5.77,clear sky
40,Manicore,BR,-5.8092,-61.3003,75.11,95,18,1.45,few clouds
41,Komsomolets,KZ,53.7453,62.0708,14.99,96,100,4.81,overcast clouds
42,Bluff,NZ,-46.6,168.3333,68.0,58,97,3.0,overcast clouds
43,Fortuna,US,40.5982,-124.1573,53.01,100,90,3.78,overcast clouds
44,Atuona,PF,-9.8,-139.0333,79.11,79,1,15.79,clear sky
45,Lebu,CL,-37.6167,-73.65,58.17,84,0,14.83,clear sky
46,Kahului,US,20.8947,-156.47,84.2,51,20,18.41,few clouds
47,Kombissiri,BF,12.0656,-1.3375,80.6,17,0,4.61,clear sky
48,Turkistan,KZ,43.0,68.0,39.7,77,100,6.69,overcast clouds
49,Leszno,PL,51.8403,16.5749,21.99,70,59,1.01,broken clouds
50,Hobyo,SO,5.3505,48.5268,74.88,77,97,15.1,overcast clouds
51,Northam,GB,51.0333,-4.2167,35.01,77,100,8.01,overcast clouds
52,Lapy,PL,52.9911,22.8842,6.01,86,91,11.25,overcast clouds
53,Torbay,CA,47.6666,-52.7314,30.99,93,90,33.38,snow
54,Jamestown,US,42.097,-79.2353,17.6,67,1,8.05,clear sky
55,Port Elizabeth,ZA,-33.918,25.5701,77.0,88,75,16.11,broken clouds
56,Victoria,HK,22.2855,114.1577,64.99,81,81,1.01,broken clouds
57,Nuuk,GL,64.1835,-51.7216,17.6,86,20,9.22,few clouds
58,Krasnoselkup,RU,65.7,82.4667,-35.43,83,0,4.56,clear sky
59,Yenangyaung,MM,20.4667,94.8833,64.94,41,100,0.54,overcast clouds
60,Keelung,TW,25.1283,121.7419,68.0,100,75,2.3,broken clouds
61,Caldwell,US,43.6629,-116.6874,28.99,93,90,6.91,snow
62,Puerto Leguizamo,CO,-0.1934,-74.7819,76.82,61,85,3.24,overcast clouds
63,Te Anau,NZ,-45.4167,167.7167,67.96,42,42,5.5,scattered clouds
64,Platanos,GR,37.6667,21.6167,46.4,87,53,3.44,broken clouds
65,Moose Factory,CA,51.2585,-80.6094,-7.6,77,1,5.75,clear sky
66,Road Town,VG,18.4167,-64.6167,78.8,73,20,10.36,few clouds
67,Mataura,NZ,-46.1927,168.8643,70.0,57,81,1.99,broken clouds
68,Lavrentiya,RU,65.5833,-171.0,-5.6,90,100,18.39,light snow
69,Yellowknife,CA,62.456,-114.3525,-13.0,77,20,3.44,few clouds
70,Kununurra,AU,-15.7667,128.7333,89.6,74,5,4.61,clear sky
71,East London,ZA,-33.0153,27.9116,75.54,84,9,9.42,clear sky
72,Mahebourg,MU,-20.4081,57.7,77.0,88,40,10.36,light rain
73,Vila Velha,BR,-20.3297,-40.2925,78.8,78,40,5.75,scattered clouds
74,Simplicio Mendes,BR,-7.8539,-41.9103,75.24,77,2,3.27,clear sky
75,Narsaq,GL,60.9167,-46.05,44.6,29,75,39.12,broken clouds
76,Bredasdorp,ZA,-34.5322,20.0403,69.8,83,15,2.3,few clouds
77,West Wendover,US,40.7391,-114.0733,51.8,35,75,16.11,broken clouds
78,Yar-Sale,RU,66.8333,70.8333,-18.6,88,100,2.8,overcast clouds
79,Port Alfred,ZA,-33.5906,26.891,73.99,95,81,5.99,broken clouds
80,Avarua,CK,-21.2078,-159.775,86.0,70,75,4.61,light rain
81,Cascais,PT,38.6979,-9.4215,53.01,87,0,4.61,clear sky
82,Alta,NO,69.9689,23.2717,26.6,63,75,12.66,broken clouds
83,Constitucion,CL,-35.3333,-72.4167,59.04,90,40,8.37,scattered clouds
84,Mehriz,IR,31.5917,54.4318,46.96,47,0,1.03,clear sky
85,Grindavik,IS,63.8424,-22.4338,41.0,75,90,32.21,overcast clouds
86,Luderitz,NA,-26.6481,15.1594,64.0,84,9,4.45,clear sky
87,Cheremushskiy,RU,61.2731,47.2636,-12.3,89,89,4.65,overcast clouds
88,Malaya Serdoba,RU,52.4661,44.9512,34.29,95,100,14.9,overcast clouds
89,San Quintin,MX,30.4833,-115.95,58.08,69,8,21.45,clear sky
90,Rokytne,UA,51.2796,27.214,8.6,95,100,16.22,light snow
91,Hilo,US,19.7297,-155.09,82.4,51,1,10.36,clear sky
92,San Rafael,AR,-34.6177,-68.3301,69.8,56,75,21.85,broken clouds
93,Clyde River,CA,70.4692,-68.5914,-0.4,85,75,20.71,snow
94,Olga,RU,43.7444,135.2892,36.57,79,0,2.08,clear sky
95,Zalantun,CN,48.0,122.7167,14.54,87,100,10.92,overcast clouds
96,Yaring,TH,6.8662,101.3689,73.4,94,20,6.91,few clouds
97,Bani Walid,LY,31.7566,13.9942,52.75,58,0,6.2,clear sky
98,Touros,BR,-5.1989,-35.4608,80.6,78,20,9.22,few clouds
99,Vinkovci,HR,45.2883,18.8047,21.0,79,0,5.75,clear sky
100,Bachaquero,VE,9.9694,-71.1494,81.55,68,0,2.91,clear sky
101,Georgetown,MY,5.4112,100.3354,81.0,88,20,2.3,few clouds
102,Yakovlevka,RU,44.425,133.4772,32.4,96,100,1.3,overcast clouds
103,Vaini,TO,-21.2,-175.2,86.0,74,75,8.05,broken clouds
104,Vestmannaeyjar,IS,63.4427,-20.2734,41.0,89,100,48.54,overcast clouds
105,Hervey Bay,AU,-25.2986,152.8535,84.99,51,40,10.36,scattered clouds
106,San Patricio,US,28.017,-97.5169,39.2,81,90,16.11,overcast clouds
107,Komsomolskiy,UZ,40.4272,71.7189,42.8,61,100,4.61,overcast clouds
108,Bor,RU,56.3567,44.0669,8.6,85,90,11.18,snow
109,Bilibino,RU,68.0546,166.4372,-17.59,82,15,0.96,few clouds
110,Lumberton,US,34.6182,-79.0086,37.4,93,90,5.75,overcast clouds
111,Bhawana,PK,31.5692,72.649,58.08,35,100,3.89,overcast clouds
112,Kapaa,US,22.0752,-159.319,77.0,57,1,4.61,clear sky
113,Sistranda,NO,63.7256,8.834,32.0,69,75,28.77,snow
114,Nikolskoye,RU,59.7035,30.7861,1.99,77,75,4.47,light snow
115,Aquiraz,BR,-3.9014,-38.3911,82.4,78,40,8.05,scattered clouds
116,Visby,SE,57.6409,18.296,32.0,80,90,14.97,overcast clouds
117,Havoysund,NO,70.9963,24.6622,26.6,59,90,6.91,light snow
118,Evensk,RU,61.95,159.2333,-0.27,79,0,5.88,clear sky
119,Gravdal,NO,68.1214,13.5031,33.1,89,100,18.57,light snow
120,Omsukchan,RU,62.5333,155.8,-11.97,85,25,4.81,scattered clouds
121,Thompson,CA,55.7435,-97.8558,-23.8,76,1,1.05,clear sky
122,Lethem,GY,3.3803,-59.7968,80.49,67,100,12.77,overcast clouds
123,Ca Mau,VN,9.1769,105.15,76.23,74,87,7.67,overcast clouds
124,Guerrero Negro,MX,27.9769,-114.0611,60.89,71,72,18.28,broken clouds
125,High Level,CA,58.5169,-117.136,-5.8,77,90,3.44,overcast clouds
126,Ati,TD,13.2154,18.3353,72.0,20,0,9.55,clear sky
127,Bambanglipuro,ID,-7.95,110.2833,79.95,80,39,3.27,scattered clouds
128,Iskateley,RU,67.6803,53.1512,-15.97,87,85,0.65,overcast clouds
129,Banda Aceh,ID,5.5577,95.3222,80.26,77,69,7.43,broken clouds
130,Beloha,MG,-25.1667,45.05,75.69,74,97,12.41,overcast clouds
131,Manyana,BW,-23.4,21.7167,66.78,76,16,5.97,few clouds
132,Necochea,AR,-38.5473,-58.7368,69.01,90,77,1.99,broken clouds
133,Lingyuan,CN,41.24,119.4011,38.8,76,100,3.58,overcast clouds
134,Ransang,PH,8.9603,117.5828,80.76,81,95,10.78,overcast clouds
135,Abu Samrah,SY,35.3029,37.1841,47.93,82,0,4.18,clear sky
136,Saint George,US,37.1041,-113.5841,62.6,31,1,4.41,clear sky
137,Tiksi,RU,71.6872,128.8694,-10.82,91,28,2.55,scattered clouds
138,Saint-Philippe,RE,-21.3585,55.7679,78.8,65,0,6.91,light rain
139,Gondanglegi,ID,-7.7479,112.0132,79.12,80,100,3.0,overcast clouds
140,Mar Del Plata,AR,-38.0023,-57.5575,69.01,74,100,17.0,overcast clouds
141,Mitsamiouli,KM,-11.3847,43.2844,81.99,81,100,14.7,overcast clouds
142,Kapit,MY,2.0167,112.9333,77.77,91,100,0.11,overcast clouds
143,Queenstown,ZA,-31.8976,26.8753,63.82,66,0,0.54,clear sky
144,Cam Ranh,VN,11.9214,109.1591,73.4,64,20,10.36,few clouds
145,Quatre Cocos,MU,-20.2078,57.7625,77.0,88,40,10.36,light rain
146,Frunze,UA,48.6686,38.7544,17.11,84,100,19.66,overcast clouds
147,Polunochnoye,RU,60.8697,60.4153,-7.17,92,100,1.68,light snow
148,Half Moon Bay,US,37.4636,-122.4286,57.99,82,90,11.5,overcast clouds
149,Severo-Kurilsk,RU,50.6789,156.125,28.63,95,100,6.13,overcast clouds
150,Camana,PE,-16.6228,-72.7111,73.17,74,12,8.41,few clouds
151,Gobabis,NA,-22.45,18.9667,65.66,73,99,6.91,overcast clouds
152,Portales,US,34.1862,-103.3344,23.0,80,90,11.5,overcast clouds
153,Dikson,RU,73.5069,80.5464,-25.83,87,99,10.56,overcast clouds
154,Prince Rupert,CA,54.3161,-130.3201,33.8,27,1,11.5,clear sky
155,Anadyr,RU,64.75,177.4833,-22.0,69,0,13.42,clear sky
156,Vuktyl,RU,63.8567,57.3094,-14.17,88,100,4.56,overcast clouds
157,Naze,JP,28.3667,129.4833,69.8,78,75,21.85,broken clouds
158,Voznesenye,RU,61.0106,35.4781,-9.26,91,97,0.94,overcast clouds
159,Portland,US,45.5234,-122.6762,27.0,74,90,21.85,snow
160,Cabedelo,BR,-6.9811,-34.8339,75.2,100,90,9.22,overcast clouds
161,Talnakh,RU,69.4865,88.3972,-21.6,85,100,1.52,overcast clouds
162,Hambantota,LK,6.1241,81.1185,71.6,100,0,2.3,clear sky
163,Castro,BR,-24.7911,-50.0119,61.88,94,71,3.31,broken clouds
164,Mount Isa,AU,-20.7333,139.5,91.4,49,75,10.36,broken clouds
165,Phatthalung,TH,7.5,100.0833,77.0,83,20,1.14,few clouds
166,Kruisfontein,ZA,-34.0033,24.7314,73.99,90,100,1.99,overcast clouds
167,Norman Wells,CA,65.282,-126.8329,-5.8,77,20,9.22,few clouds
168,Grand Gaube,MU,-20.0064,57.6608,75.0,81,1,4.0,clear sky
169,Mansa,IN,29.9833,75.3833,56.28,37,100,1.72,overcast clouds
170,Ilulissat,GL,69.2167,-51.1,5.0,78,20,1.14,few clouds
171,Toda Raisingh,IN,26.0252,75.4849,53.44,50,0,3.69,clear sky
172,Laguna,US,38.421,-121.4238,60.8,55,20,3.44,few clouds
173,Khatanga,RU,71.9667,102.5,-26.03,86,100,7.78,overcast clouds
174,La Ronge,CA,55.1001,-105.2842,-16.6,63,31,1.14,scattered clouds
175,Viravanallur,IN,8.7,77.5333,69.06,79,97,3.67,overcast clouds
176,Pangnirtung,CA,66.1451,-65.7125,-18.99,82,99,0.63,overcast clouds
177,Port Hardy,CA,50.6996,-127.4199,35.6,47,90,31.07,light snow
178,Hadejia,NG,12.4498,10.0444,68.09,22,0,7.63,clear sky
179,Isangel,VU,-19.55,169.2667,82.4,78,75,6.17,broken clouds
180,Puerto Ayora,EC,-0.7393,-90.3518,75.99,96,77,5.01,light rain
181,Vanimo,PG,-2.6741,141.3028,76.86,88,100,4.88,overcast clouds
182,Santa Luzia,BR,-19.7697,-43.8514,71.6,88,0,8.05,clear sky
183,Kaniama,CD,-7.5667,24.1833,65.12,95,99,0.56,overcast clouds
184,Jashpurnagar,IN,22.9,84.15,55.42,39,98,3.91,overcast clouds
185,Dunedin,NZ,-45.8742,170.5036,62.01,77,58,21.99,broken clouds
186,Trincomalee,LK,8.5711,81.2335,77.31,85,38,10.33,scattered clouds
187,Yatou,CN,37.15,122.3833,48.22,65,0,4.9,clear sky
188,Bereda,ES,43.2686,-7.5406,46.0,90,100,5.01,overcast clouds
189,Qui Nhon,VN,13.7667,109.2333,67.64,76,3,8.1,clear sky
190,Hasaki,JP,35.7333,140.8333,48.0,70,20,5.75,few clouds
191,Nome,US,64.5011,-165.4064,28.4,74,90,21.85,light snow
192,Geraldton,AU,-28.7667,114.6,89.6,27,100,12.66,overcast clouds
193,Alofi,NU,-19.0595,-169.9187,86.0,74,76,10.36,broken clouds
194,Okhotsk,RU,59.3833,143.3,15.26,93,100,4.52,overcast clouds
195,Bethel,US,41.3712,-73.414,28.4,28,90,4.61,overcast clouds
196,Raga,SS,8.4596,25.678,66.4,28,0,1.57,clear sky
197,Leningradskiy,RU,69.3833,178.4167,-18.08,84,100,8.08,overcast clouds
198,Larisa,GR,39.6372,22.4203,37.4,60,40,5.5,scattered clouds
199,Kodiak,US,57.79,-152.4072,33.8,80,90,16.11,light snow
200,Esperance,AU,-33.8667,121.9,64.4,72,0,8.05,clear sky
201,Sola,VU,-13.8833,167.55,89.6,70,75,10.42,broken clouds
202,Saint-Germain-De-Grantham,CA,45.8334,-72.5658,0.0,73,98,1.01,overcast clouds
203,Provideniya,RU,64.3833,-173.3,-0.35,89,100,30.4,light snow
204,Bethanien,NA,-26.502,17.1583,72.64,55,73,6.31,broken clouds
205,Nemuro,JP,43.3236,145.575,19.4,73,75,2.3,broken clouds
206,Lashio,MM,22.9333,97.75,55.04,69,0,1.41,clear sky
207,Tohana,IN,29.7,75.9,55.22,41,100,1.34,overcast clouds
208,Pevek,RU,69.7008,170.3133,-19.32,89,100,6.44,overcast clouds
209,Godda,IN,24.8333,87.2167,56.61,65,0,2.15,clear sky
210,Emba,KZ,48.8264,58.1442,21.58,94,71,8.25,broken clouds
211,Bengkulu,ID,-3.8004,102.2655,80.65,75,68,3.4,broken clouds
212,Mogadishu,SO,2.0371,45.3438,75.81,82,19,18.19,few clouds
213,Thunder Bay,CA,48.4001,-89.3168,-4.0,54,1,5.75,clear sky
214,Klaksvik,FO,62.2266,-6.589,37.4,60,75,21.85,broken clouds
215,Chillan,CL,-36.6066,-72.1034,77.0,50,40,6.91,scattered clouds
216,Quthing,LS,-30.4,27.7003,63.91,53,0,2.17,clear sky
217,Yasnyy,RU,51.0333,59.8742,20.61,96,0,8.59,clear sky
218,Kandrian,PG,-6.2167,149.55,87.96,61,99,3.98,light rain
219,Fuerte Olimpo,PY,-21.0415,-57.8738,78.93,62,56,0.98,broken clouds
220,Lapua,FI,62.9693,23.0088,26.01,90,90,1.99,overcast clouds
221,Kolpashevo,RU,58.3131,82.9089,-20.06,87,100,5.37,overcast clouds
222,Codrington,AU,-38.2667,141.9667,64.96,54,0,10.67,clear sky
223,Miraflores,MX,19.2167,-98.8083,66.0,17,40,16.11,scattered clouds
224,Carlisle,US,40.2015,-77.1889,28.4,43,90,5.75,overcast clouds
225,Sept-Iles,CA,50.2001,-66.3821,19.4,58,90,4.61,overcast clouds
226,Hovd,MN,48.0056,91.6419,3.27,90,0,1.34,clear sky
227,Jalu,LY,29.0331,21.5482,51.04,74,0,6.22,clear sky
228,Kem,RU,64.9555,34.5793,4.84,94,97,7.25,overcast clouds
229,Pandan,PH,14.0453,124.1694,79.05,83,65,11.61,broken clouds
230,Husavik,IS,66.0449,-17.3389,35.6,69,0,14.97,clear sky
231,Chernyshevskiy,RU,63.0128,112.4714,-26.21,86,70,3.98,broken clouds
